,0,1,2,3,4,5,6
0,7,16,6,3,3,2,0
1,9,10,7,7,4,3,5
2,7,12,5,0,2,2,0
3,6,12,9,6,2,1,6
4,13,15,7,8,1,2,0
5,8,10,8,13,0,3,6
6,11,17,7,6,5,4,0
7,11,15,5,1,3,2,5
8,12,9,7,11,4,3,0
9,11,16,6,0,2,3,3
10,12,10,7,8,0,0,0
11,10,13,6,0,0,3,6
12,13,11,6,0,5,3,0
13,13,16,9,0,3,4,3
14,11,15,8,0,4,2,0
15,13,14,8,2,2,2,4
16,10,17,6,6,1,1,0
17,9,15,5,2,2,3,5
18,10,15,8,14,3,3,0
19,13,10,8,1,3,2,4
20,9,15,5,11,0,3,0
21,11,9,9,11,0,3,4
22,15,14,9,3,3,2,0
23,12,12,6,3,3,2,2
24,12,15,9,11,3,2,0
25,10,14,9,0,2,3,3
26,12,15,5,3,0,2,0
27,11,19,8,1,0,2,2
28,10,15,9,8,2,2,0
29,14,16,10,2,1,1,6
30,12,14,9,0,0,3,0
31,14,16,9,1,2,2,3
32,13,16,8,3,0,2,0
33,10,14,6,1,3,1,2
34,12,17,9,1,1,2,0
